id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202510220BOS,RS,BOS,0.0,,0,0,0
202510220BOS,RS,BOS,17.0,,0,2,-2
202510220BOS,RS,BOS,39.0,LC,3,2,1
202510220BOS,RS,BOS,58.0,T,3,3,0
202510220BOS,RS,BOS,87.0,LC,3,5,-2
202510220BOS,RS,BOS,99.0,,4,5,-1
202510220BOS,RS,BOS,134.0,LC,7,5,2
202510220BOS,RS,BOS,153.0,T,7,7,0
202510220BOS,RS,BOS,185.0,,9,7,2
202510220BOS,RS,BOS,185.0,,10,7,3
202510220BOS,RS,BOS,226.0,,10,9,1
202510220BOS,RS,BOS,274.0,LC,10,11,-1
202510220BOS,RS,BOS,307.0,,10,13,-3
202510220BOS,RS,BOS,338.0,,12,13,-1
202510220BOS,RS,BOS,356.0,,12,16,-4
202510220BOS,RS,BOS,383.0,,15,16,-1
202510220BOS,RS,BOS,432.0,,15,18,-3
202510220BOS,RS,BOS,443.0,,17,18,-1
202510220BOS,RS,BOS,459.0,,17,20,-3
202510220BOS,RS,BOS,471.0,T,20,20,0
202510220BOS,RS,BOS,497.0,,20,22,-2
202510220BOS,RS,BOS,592.0,T,22,22,0
202510220BOS,RS,BOS,608.0,,22,25,-3
202510220BOS,RS,BOS,646.0,T,25,25,0
202510220BOS,RS,BOS,658.0,,25,28,-3
202510220BOS,RS,BOS,715.0,,26,28,-2
202510220BOS,RS,BOS,749.0,,27,28,-1
202510220BOS,RS,BOS,749.0,T,28,28,0
202510220BOS,RS,BOS,766.0,LC,30,28,2
202510220BOS,RS,BOS,791.0,,32,28,4
202510220BOS,RS,BOS,811.0,,32,31,1
202510220BOS,RS,BOS,833.0,LC,32,33,-1
202510220BOS,RS,BOS,879.0,LC,34,33,1
202510220BOS,RS,BOS,904.0,LC,34,35,-1
202510220BOS,RS,BOS,904.0,,34,36,-2
202510220BOS,RS,BOS,933.0,,34,39,-5
202510220BOS,RS,BOS,951.0,,35,39,-4
202510220BOS,RS,BOS,951.0,,36,39,-3
202510220BOS,RS,BOS,981.0,,38,39,-1
202510220BOS,RS,BOS,1025.0,T,39,39,0
202510220BOS,RS,BOS,1049.0,LC,40,39,1
202510220BOS,RS,BOS,1049.0,,41,39,2
202510220BOS,RS,BOS,1102.0,T,41,41,0
202510220BOS,RS,BOS,1128.0,LC,41,43,-2
202510220BOS,RS,BOS,1159.0,T,43,43,0
202510220BOS,RS,BOS,1178.0,,43,45,-2
202510220BOS,RS,BOS,1234.0,LC,46,45,1
202510220BOS,RS,BOS,1256.0,,49,45,4
202510220BOS,RS,BOS,1289.0,,49,47,2
202510220BOS,RS,BOS,1299.0,,51,47,4
202510220BOS,RS,BOS,1315.0,,53,47,6
202510220BOS,RS,BOS,1383.0,,54,47,7
202510220BOS,RS,BOS,1383.0,,55,47,8
202510220BOS,RS,BOS,1399.0,,55,49,6
202510220BOS,RS,BOS,1408.0,,57,49,8
202510220BOS,RS,BOS,1421.0,,57,50,7
202510220BOS,RS,BOS,1421.0,,57,51,6
202510220BOS,RS,BOS,1466.0,,57,53,4
202510220BOS,RS,BOS,1560.0,,57,54,3
202510220BOS,RS,BOS,1573.0,,57,56,1
202510220BOS,RS,BOS,1596.0,,59,56,3
202510220BOS,RS,BOS,1623.0,,61,56,5
202510220BOS,RS,BOS,1631.0,,61,59,2
202510220BOS,RS,BOS,1674.0,LC,61,62,-1
202510220BOS,RS,BOS,1702.0,,61,65,-4
202510220BOS,RS,BOS,1779.0,,61,66,-5
202510220BOS,RS,BOS,1779.0,,61,67,-6
202510220BOS,RS,BOS,1779.0,,61,68,-7
202510220BOS,RS,BOS,1808.0,,61,69,-8
202510220BOS,RS,BOS,1808.0,,61,70,-9
202510220BOS,RS,BOS,1828.0,,61,72,-11
202510220BOS,RS,BOS,1867.0,,64,72,-8
202510220BOS,RS,BOS,1884.0,,64,73,-9
202510220BOS,RS,BOS,1884.0,,64,74,-10
202510220BOS,RS,BOS,1908.0,,66,74,-8
202510220BOS,RS,BOS,1951.0,,66,77,-11
202510220BOS,RS,BOS,1971.0,,68,77,-9
202510220BOS,RS,BOS,1996.0,,68,78,-10
202510220BOS,RS,BOS,1996.0,,68,79,-11
202510220BOS,RS,BOS,2014.0,,69,79,-10
202510220BOS,RS,BOS,2014.0,,70,79,-9
202510220BOS,RS,BOS,2014.0,,70,80,-10
202510220BOS,RS,BOS,2014.0,,70,81,-11
202510220BOS,RS,BOS,2037.0,,73,81,-8
202510220BOS,RS,BOS,2060.0,,75,81,-6
202510220BOS,RS,BOS,2079.0,,75,82,-7
202510220BOS,RS,BOS,2079.0,,75,83,-8
202510220BOS,RS,BOS,2101.0,,75,85,-10
202510220BOS,RS,BOS,2130.0,,75,86,-11
202510220BOS,RS,BOS,2210.0,,75,88,-13
202510220BOS,RS,BOS,2237.0,,78,88,-10
202510220BOS,RS,BOS,2247.0,,78,90,-12
202510220BOS,RS,BOS,2255.0,,81,90,-9
202510220BOS,RS,BOS,2277.0,,84,90,-6
202510220BOS,RS,BOS,2297.0,,84,92,-8
202510220BOS,RS,BOS,2322.0,,84,94,-10
202510220BOS,RS,BOS,2342.0,,87,94,-7
202510220BOS,RS,BOS,2374.0,,90,94,-4
202510220BOS,RS,BOS,2404.0,,92,94,-2
202510220BOS,RS,BOS,2422.0,,92,95,-3
202510220BOS,RS,BOS,2422.0,,92,96,-4
202510220BOS,RS,BOS,2473.0,,94,96,-2
202510220BOS,RS,BOS,2490.0,,94,99,-5
202510220BOS,RS,BOS,2525.0,,94,101,-7
202510220BOS,RS,BOS,2543.0,,96,101,-5
202510220BOS,RS,BOS,2562.0,,96,102,-6
202510220BOS,RS,BOS,2562.0,,96,103,-7
202510220BOS,RS,BOS,2586.0,,98,103,-5
202510220BOS,RS,BOS,2596.0,,98,105,-7
202510220BOS,RS,BOS,2612.0,,100,105,-5
202510220BOS,RS,BOS,2632.0,,100,107,-7
202510220BOS,RS,BOS,2653.0,,100,109,-9
202510220BOS,RS,BOS,2667.0,,103,109,-6
202510220BOS,RS,BOS,2700.0,,105,109,-4
202510220BOS,RS,BOS,2750.0,,106,109,-3
