id,type,opponent,elapsedTime,event,teamScore,opponentScore,pointDifference
202510220NYK,RS,NYK,0.0,,0,0,0
202510220NYK,RS,NYK,15.0,,2,0,2
202510220NYK,RS,NYK,40.0,LC,2,3,-1
202510220NYK,RS,NYK,67.0,,2,4,-2
202510220NYK,RS,NYK,67.0,,2,5,-3
202510220NYK,RS,NYK,76.0,,4,5,-1
202510220NYK,RS,NYK,109.0,LC,7,5,2
202510220NYK,RS,NYK,152.0,,10,5,5
202510220NYK,RS,NYK,203.0,,10,7,3
202510220NYK,RS,NYK,240.0,T,10,10,0
202510220NYK,RS,NYK,265.0,LC,10,12,-2
202510220NYK,RS,NYK,294.0,,10,14,-4
202510220NYK,RS,NYK,339.0,,10,17,-7
202510220NYK,RS,NYK,355.0,,13,17,-4
202510220NYK,RS,NYK,447.0,,13,18,-5
202510220NYK,RS,NYK,447.0,,13,19,-6
202510220NYK,RS,NYK,495.0,,16,19,-3
202510220NYK,RS,NYK,515.0,,16,21,-5
202510220NYK,RS,NYK,542.0,,16,23,-7
202510220NYK,RS,NYK,563.0,,16,25,-9
202510220NYK,RS,NYK,563.0,,16,26,-10
202510220NYK,RS,NYK,580.0,,18,26,-8
202510220NYK,RS,NYK,599.0,,18,27,-9
202510220NYK,RS,NYK,599.0,,18,28,-10
202510220NYK,RS,NYK,651.0,,18,30,-12
202510220NYK,RS,NYK,670.0,,21,30,-9
202510220NYK,RS,NYK,684.0,,21,33,-12
202510220NYK,RS,NYK,711.0,,23,33,-10
202510220NYK,RS,NYK,743.0,,23,35,-12
202510220NYK,RS,NYK,761.0,,23,37,-14
202510220NYK,RS,NYK,773.0,,25,37,-12
202510220NYK,RS,NYK,797.0,,25,40,-15
202510220NYK,RS,NYK,822.0,,27,40,-13
202510220NYK,RS,NYK,887.0,,27,41,-14
202510220NYK,RS,NYK,887.0,,27,42,-15
202510220NYK,RS,NYK,913.0,,29,42,-13
202510220NYK,RS,NYK,913.0,,30,42,-12
202510220NYK,RS,NYK,971.0,,33,42,-9
202510220NYK,RS,NYK,997.0,,33,44,-11
202510220NYK,RS,NYK,1046.0,,35,44,-9
202510220NYK,RS,NYK,1081.0,,38,44,-6
202510220NYK,RS,NYK,1122.0,,41,44,-3
202510220NYK,RS,NYK,1156.0,,43,44,-1
202510220NYK,RS,NYK,1170.0,,43,47,-4
202510220NYK,RS,NYK,1224.0,,43,48,-5
202510220NYK,RS,NYK,1224.0,,43,49,-6
202510220NYK,RS,NYK,1224.0,,43,50,-7
202510220NYK,RS,NYK,1245.0,,43,53,-10
202510220NYK,RS,NYK,1263.0,,46,53,-7
202510220NYK,RS,NYK,1282.0,,46,54,-8
202510220NYK,RS,NYK,1312.0,,46,57,-11
202510220NYK,RS,NYK,1329.0,,46,58,-12
202510220NYK,RS,NYK,1329.0,,46,59,-13
202510220NYK,RS,NYK,1329.0,,46,60,-14
202510220NYK,RS,NYK,1381.0,,46,62,-16
202510220NYK,RS,NYK,1381.0,,46,63,-17
202510220NYK,RS,NYK,1402.0,,47,63,-16
202510220NYK,RS,NYK,1402.0,,48,63,-15
202510220NYK,RS,NYK,1411.0,,48,65,-17
202510220NYK,RS,NYK,1431.0,,50,65,-15
202510220NYK,RS,NYK,1458.0,,52,65,-13
202510220NYK,RS,NYK,1458.0,,53,65,-12
202510220NYK,RS,NYK,1472.0,,53,66,-13
202510220NYK,RS,NYK,1472.0,,53,67,-14
202510220NYK,RS,NYK,1485.0,,55,67,-12
202510220NYK,RS,NYK,1527.0,,58,67,-9
202510220NYK,RS,NYK,1553.0,,60,67,-7
202510220NYK,RS,NYK,1569.0,,60,70,-10
202510220NYK,RS,NYK,1586.0,,60,72,-12
202510220NYK,RS,NYK,1617.0,,60,75,-15
202510220NYK,RS,NYK,1636.0,,63,75,-12
202510220NYK,RS,NYK,1667.0,,63,77,-14
202510220NYK,RS,NYK,1687.0,,65,77,-12
202510220NYK,RS,NYK,1707.0,,68,77,-9
202510220NYK,RS,NYK,1718.0,,68,78,-10
202510220NYK,RS,NYK,1718.0,,68,79,-11
202510220NYK,RS,NYK,1757.0,,70,79,-9
202510220NYK,RS,NYK,1841.0,,72,79,-7
202510220NYK,RS,NYK,1862.0,,75,79,-4
202510220NYK,RS,NYK,1890.0,,76,79,-3
202510220NYK,RS,NYK,1914.0,,78,79,-1
202510220NYK,RS,NYK,1927.0,,78,82,-4
